,album,track_title,lyric,line,year,title_lemmas,lyric_type
1,Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night,2,2006,"['Tim', 'McGraw']",chorus
2,Taylor Swift,Tim McGraw,"I said, ""That's a lie""",3,2006,"['Tim', 'McGraw']",chorus
9,Taylor Swift,Tim McGraw,I hope you think my favorite song,10,2006,"['Tim', 'McGraw']",chorus
10,Taylor Swift,Tim McGraw,The one we danced to all night long,11,2006,"['Tim', 'McGraw']",chorus
11,Taylor Swift,Tim McGraw,The moon like a spotlight on the lake,12,2006,"['Tim', 'McGraw']",chorus
12,Taylor Swift,Tim McGraw,When you think happiness,13,2006,"['Tim', 'McGraw']",chorus
13,Taylor Swift,Tim McGraw,I hope you think that little black dress,14,2006,"['Tim', 'McGraw']",chorus
14,Taylor Swift,Tim McGraw,Think of my head on your chest,15,2006,"['Tim', 'McGraw']",chorus
15,Taylor Swift,Tim McGraw,And my old faded blue jeans,16,2006,"['Tim', 'McGraw']",chorus
16,Taylor Swift,Tim McGraw,When you think Tim McGraw,17,2006,"['Tim', 'McGraw']",chorus
17,Taylor Swift,Tim McGraw,I hope you think of me,18,2006,"['Tim', 'McGraw']",chorus
26,Taylor Swift,Tim McGraw,When you think Tim McGraw,27,2006,"['Tim', 'McGraw']",chorus
27,Taylor Swift,Tim McGraw,I hope you think my favorite song,28,2006,"['Tim', 'McGraw']",chorus
28,Taylor Swift,Tim McGraw,The one we danced to all night long,29,2006,"['Tim', 'McGraw']",chorus
29,Taylor Swift,Tim McGraw,The moon like a spotlight on the lake,30,2006,"['Tim', 'McGraw']",chorus
30,Taylor Swift,Tim McGraw,When you think happiness,31,2006,"['Tim', 'McGraw']",chorus
31,Taylor Swift,Tim McGraw,I hope you think that little black dress,32,2006,"['Tim', 'McGraw']",chorus
32,Taylor Swift,Tim McGraw,Think of my head on your chest,33,2006,"['Tim', 'McGraw']",chorus
33,Taylor Swift,Tim McGraw,And my old faded blue jeans,34,2006,"['Tim', 'McGraw']",chorus
34,Taylor Swift,Tim McGraw,When you think Tim McGraw,35,2006,"['Tim', 'McGraw']",chorus
35,Taylor Swift,Tim McGraw,I hope you think of me,36,2006,"['Tim', 'McGraw']",chorus
41,Taylor Swift,Tim McGraw,I hope you think my favorite song,42,2006,"['Tim', 'McGraw']",chorus
44,Taylor Swift,Tim McGraw,When you think happiness,45,2006,"['Tim', 'McGraw']",chorus
45,Taylor Swift,Tim McGraw,I hope you think that little black dress,46,2006,"['Tim', 'McGraw']",chorus
46,Taylor Swift,Tim McGraw,Think of my head on your chest,47,2006,"['Tim', 'McGraw']",chorus
47,Taylor Swift,Tim McGraw,And my old faded blue jeans,48,2006,"['Tim', 'McGraw']",chorus
48,Taylor Swift,Tim McGraw,When you think Tim McGraw,49,2006,"['Tim', 'McGraw']",chorus
49,Taylor Swift,Tim McGraw,I hope you think of me,50,2006,"['Tim', 'McGraw']",chorus
53,Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night,54,2006,"['Tim', 'McGraw']",chorus
54,Taylor Swift,Tim McGraw,"I said, ""That's a lie""",55,2006,"['Tim', 'McGraw']",chorus
60,Taylor Swift,Picture To Burn,I hate that stupid old pickup truck,6,2006,"['picture', 'burn']",chorus
61,Taylor Swift,Picture To Burn,You never let me drive,7,2006,"['picture', 'burn']",chorus
62,Taylor Swift,Picture To Burn,You're a redneck heartbreak,8,2006,"['picture', 'burn']",chorus
63,Taylor Swift,Picture To Burn,Who's really bad at lying,9,2006,"['picture', 'burn']",chorus
64,Taylor Swift,Picture To Burn,So watch me strike a match,10,2006,"['picture', 'burn']",chorus
65,Taylor Swift,Picture To Burn,On all my wasted time,11,2006,"['picture', 'burn']",chorus
66,Taylor Swift,Picture To Burn,As far as I'm concerned you're,12,2006,"['picture', 'burn']",chorus
67,Taylor Swift,Picture To Burn,Just another picture to burn,13,2006,"['picture', 'burn']",chorus
74,Taylor Swift,Picture To Burn,I hate that stupid old pickup truck,20,2006,"['picture', 'burn']",chorus
75,Taylor Swift,Picture To Burn,You never let me drive,21,2006,"['picture', 'burn']",chorus
76,Taylor Swift,Picture To Burn,You're a redneck heartbreak,22,2006,"['picture', 'burn']",chorus
77,Taylor Swift,Picture To Burn,Who's really bad at lying,23,2006,"['picture', 'burn']",chorus
78,Taylor Swift,Picture To Burn,So watch me strike a match,24,2006,"['picture', 'burn']",chorus
79,Taylor Swift,Picture To Burn,On all my wasted time,25,2006,"['picture', 'burn']",chorus
