,album,track_title,lyric,line,year,title_lemmas,lyric_type
0,Taylor Swift,Tim McGraw,He said the way my blue eyes shined,1,2006,"['Tim', 'McGraw']",verse
3,Taylor Swift,Tim McGraw,Just a boy in a Chevy truck,4,2006,"['Tim', 'McGraw']",verse
4,Taylor Swift,Tim McGraw,That had a tendency of gettin' stuck,5,2006,"['Tim', 'McGraw']",verse
5,Taylor Swift,Tim McGraw,On backroads at night,6,2006,"['Tim', 'McGraw']",verse
6,Taylor Swift,Tim McGraw,And I was right there beside him all summer long,7,2006,"['Tim', 'McGraw']",verse
7,Taylor Swift,Tim McGraw,And then the time we woke up to find that summer gone,8,2006,"['Tim', 'McGraw']",verse
8,Taylor Swift,Tim McGraw,But when you think Tim McGraw,9,2006,"['Tim', 'McGraw']",verse
18,Taylor Swift,Tim McGraw,September saw a month of tears,19,2006,"['Tim', 'McGraw']",verse
19,Taylor Swift,Tim McGraw,And thankin' God that you weren't here,20,2006,"['Tim', 'McGraw']",verse
20,Taylor Swift,Tim McGraw,To see me like that,21,2006,"['Tim', 'McGraw']",verse
21,Taylor Swift,Tim McGraw,But in a box beneath my bed,22,2006,"['Tim', 'McGraw']",verse
22,Taylor Swift,Tim McGraw,Is a letter that you never read,23,2006,"['Tim', 'McGraw']",verse
23,Taylor Swift,Tim McGraw,From three summers back,24,2006,"['Tim', 'McGraw']",verse
24,Taylor Swift,Tim McGraw,It's hard not to find it all a little bittersweet,25,2006,"['Tim', 'McGraw']",verse
25,Taylor Swift,Tim McGraw,"And lookin' back on all of that, it's nice to believe",26,2006,"['Tim', 'McGraw']",verse
36,Taylor Swift,Tim McGraw,And I'm back for the first time since then,37,2006,"['Tim', 'McGraw']",verse
37,Taylor Swift,Tim McGraw,I'm standin' on your street,38,2006,"['Tim', 'McGraw']",verse
38,Taylor Swift,Tim McGraw,And there's a letter left on your doorstep,39,2006,"['Tim', 'McGraw']",verse
39,Taylor Swift,Tim McGraw,And the first thing that you'll read is:,40,2006,"['Tim', 'McGraw']",verse
40,Taylor Swift,Tim McGraw,"""When you think Tim McGraw",41,2006,"['Tim', 'McGraw']",verse
42,Taylor Swift,Tim McGraw,Someday you'll turn your radio on,43,2006,"['Tim', 'McGraw']",verse
43,Taylor Swift,Tim McGraw,"I hope it takes you back to that place""",44,2006,"['Tim', 'McGraw']",verse
50,Taylor Swift,Tim McGraw,"Oh, think of me",51,2006,"['Tim', 'McGraw']",verse
51,Taylor Swift,Tim McGraw,Mmmm,52,2006,"['Tim', 'McGraw']",verse
52,Taylor Swift,Tim McGraw,He said the way my blue eyes shine,53,2006,"['Tim', 'McGraw']",verse
55,Taylor Swift,Picture To Burn,"State the obvious, I didn't get my perfect fantasy",1,2006,"['picture', 'burn']",verse
56,Taylor Swift,Picture To Burn,I realize you love yourself more than you could ever love me,2,2006,"['picture', 'burn']",verse
57,Taylor Swift,Picture To Burn,So go and tell your friends that I'm obsessive and crazy,3,2006,"['picture', 'burn']",verse
58,Taylor Swift,Picture To Burn,"That's fine, I'll tell mine that you're gay",4,2006,"['picture', 'burn']",verse
59,Taylor Swift,Picture To Burn,By the way,5,2006,"['picture', 'burn']",verse
68,Taylor Swift,Picture To Burn,There's no time for tears,14,2006,"['picture', 'burn']",verse
69,Taylor Swift,Picture To Burn,I'm just sitting here planning my revenge,15,2006,"['picture', 'burn']",verse
70,Taylor Swift,Picture To Burn,There's nothing stopping me,16,2006,"['picture', 'burn']",verse
71,Taylor Swift,Picture To Burn,From going out with all of your best friends,17,2006,"['picture', 'burn']",verse
72,Taylor Swift,Picture To Burn,And if you come around saying sorry to me,18,2006,"['picture', 'burn']",verse
73,Taylor Swift,Picture To Burn,My daddy's gonna show you how sorry you'll be,19,2006,"['picture', 'burn']",verse
82,Taylor Swift,Picture To Burn,And if you're missing me,28,2006,"['picture', 'burn']",verse
83,Taylor Swift,Picture To Burn,You'd better keep it to yourself,29,2006,"['picture', 'burn']",verse
84,Taylor Swift,Picture To Burn,Cause coming back around here,30,2006,"['picture', 'burn']",verse
85,Taylor Swift,Picture To Burn,Would be bad for your health,31,2006,"['picture', 'burn']",verse
